Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map05134,15,-1.8001,0.90955,1,1.8001,0.090446,0.48889,-1.0889,0.88829,1,2,-0.1784,0.67946,1,13,-1.0997,0.78891,1
map02026,43,1.9703,0.011993,0.34383,-1.9703,0.98801,1,2.6241,0.030858,0.60246,30,1.6756,0.31108,1,13,2.2271,0.033776,0.46006
map04810,21,-1.5418,0.84878,1,1.5418,0.15122,0.48889,-1.7095,0.97095,1,3,-0.28752,0.74125,1,18,-1.7291,0.90723,1
map04015,10,-0.83601,0.6966,1,0.83601,0.3034,0.57711,-2.547,0.99151,1,1,-0.63979,0.7927,1,9,-2.4715,0.96948,1
map05034,18,-1.6212,0.88914,1,1.6212,0.11086,0.48889,-2.2003,0.98985,1,1,-0.31393,0.6914,1,17,-2.1879,0.95282,1
map04260,20,-0.92334,0.70543,1,0.92334,0.29457,0.5751,-2.4392,0.99308,1,3,0.21949,0.5496,1,17,-2.7379,0.98311,1
map00473,5,0.13078,0.40048,1,-0.13078,0.59952,0.77297,-0.17181,0.61892,1,2,0.12587,0.55596,1,3,-0.32458,0.60005,1
map03013,74,-3.5267,0.99311,1,3.5267,0.0068943,0.22011,-3.0961,0.99969,1,6,0.6893,0.4464,1,68,-3.4346,0.99548,1
map00480,25,2.5489,0.0051409,0.2342,-2.5489,0.99486,1,1.4935,0.16602,1,17,1.8634,0.16672,1,8,-0.076181,0.4949,1
map00650,61,-0.29206,0.42327,1,0.29206,0.57673,0.75695,2.9699,0.02282,0.46781,33,1.3942,0.47547,1,28,2.8699,0.0098709,0.19495
map00624,2,0.42185,0.27995,1,-0.42185,0.72005,0.87602,-0.70205,0.74885,1,1,0.13313,0.52642,1,1,-1.126,0.84032,1
map00010,70,0.63895,0.13926,1,-0.63895,0.86074,0.96686,2.6661,0.047252,0.77973,41,1.4987,0.50395,1,29,2.3602,0.024976,0.39462
map04114,32,-2.2664,0.9279,1,2.2664,0.072104,0.48889,-2.3957,0.99571,1,3,-0.68267,0.85417,1,29,-2.297,0.94905,1
map04138,47,-3.3631,0.98945,1,3.3631,0.010545,0.2822,-1.129,0.94,1,4,0.4429,0.5177,1,43,-1.3154,0.83008,1
map00531,5,1.1535,0.1294,1,-1.1535,0.8706,0.96744,-0.52383,0.72845,1,4,-0.45021,0.83208,1,1,-0.27089,0.60679,1
map04960,3,-1.2596,0.84723,1,1.2596,0.15277,0.48889,0.11645,0.48044,1,0,NA,NA,NA,3,0.11645,0.45738,1
map01053,12,1.3507,0.064712,0.97669,-1.3507,0.93529,0.99506,-0.098934,0.6403,1,7,0.91678,0.37721,1,5,-1.238,0.83162,1
map05204,4,1.6845,0.051623,0.93463,-1.6845,0.94838,0.99958,1.3749,0.15723,1,3,1.4754,0.12104,1,1,0.19432,0.45091,1
map00980,6,2.3711,0.011274,0.34383,-2.3711,0.98873,1,1.6886,0.089398,0.93983,5,1.7628,0.09839,1,1,0.19432,0.45091,1
map00830,3,2.5022,0.012579,0.34383,-2.5022,0.98742,1,1.7074,0.065522,0.87121,3,1.7074,0.079431,1,0,NA,NA,NA
map04710,3,-0.48626,0.63823,1,0.48626,0.36177,0.59834,-1.5277,0.92796,1,0,NA,NA,NA,3,-1.5277,0.89194,1
map01501,45,-1.3558,0.72766,1,1.3558,0.27234,0.56121,1.8508,0.117,1,22,0.38824,0.73724,1,23,2.2091,0.025991,0.39487
map04122,21,0.94831,0.1179,1,-0.94831,0.8821,0.96853,4.5121,8.34E-05,0.0068372,13,3.2135,0.0075243,0.65517,8,3.214,0.0030143,0.079375
map05169,25,-1.571,0.82156,1,1.571,0.17844,0.48889,-2.5996,0.99504,1,2,0.20648,0.52174,1,23,-2.7712,0.98733,1
map04630,3,-0.97591,0.78187,1,0.97591,0.21813,0.51922,-0.35195,0.64843,1,0,NA,NA,NA,3,-0.35195,0.60867,1
map00121,7,-0.62783,0.64636,1,0.62783,0.35364,0.59834,1.2023,0.19871,1,4,0.15526,0.6331,1,3,1.6573,0.085888,0.77626
map04113,98,-3.3021,0.98465,1,3.3021,0.015351,0.33126,-3.8388,0.99997,1,15,-0.5565,0.95234,1,83,-3.9348,0.99914,1
map00592,4,0.71941,0.21322,1,-0.71941,0.78678,0.92696,0.63318,0.36908,1,2,1.1707,0.16435,1,2,-0.27521,0.55373,1
map05220,4,-0.98261,0.75035,1,0.98261,0.24965,0.55637,-0.92659,0.8595,1,0,NA,NA,NA,4,-0.92659,0.7612,1
map00750,11,-2.0545,0.94306,1,2.0545,0.056945,0.48889,3.6999,0.0010444,0.053524,6,0.55441,0.50295,1,5,4.8805,8.52E-05,0.0067338
map04214,8,-0.53972,0.59988,1,0.53972,0.40012,0.61828,0.48441,0.40845,1,1,2.5134,0.012479,0.65517,7,-0.43213,0.59098,1
map01055,1,0.91242,0.18216,1,-0.91242,0.81784,0.94501,0.35433,0.42037,1,1,0.35433,0.44108,1,0,NA,NA,NA
map03450,12,-1.5871,0.8699,1,1.5871,0.1301,0.48889,-1.7884,0.96847,1,0,NA,NA,NA,12,-1.7884,0.92519,1
map04371,12,-1.1245,0.7611,1,1.1245,0.2389,0.54531,-0.91914,0.86154,1,2,-0.03074,0.62105,1,10,-0.99311,0.75788,1
map00280,36,0.6619,0.15383,1,-0.6619,0.84617,0.95837,-0.38921,0.81393,1,19,0.62299,0.66799,1,17,-1.225,0.81195,1
map05166,35,-1.8349,0.8648,1,1.8349,0.1352,0.48889,-2.1737,0.99194,1,6,-0.54863,0.87899,1,29,-2.1385,0.93491,1
map00514,5,-0.13602,0.49071,1,0.13602,0.50929,0.69604,0.45906,0.4033,1,2,0.56417,0.37143,1,3,0.13199,0.45235,1
map05171,80,-2.5483,0.94577,1,2.5483,0.054225,0.48889,-5.3695,1,1,11,-1.477,0.99414,1,69,-5.192,0.99998,1
map04215,2,-0.74444,0.67838,1,0.74444,0.32162,0.57711,-0.35474,0.64794,1,0,NA,NA,NA,2,-0.35474,0.57903,1
map05162,7,-1.7155,0.90714,1,1.7155,0.092858,0.48889,-0.39989,0.69688,1,0,NA,NA,NA,7,-0.39989,0.58142,1
map04152,21,-1.6656,0.87316,1,1.6656,0.12684,0.48889,-1.0325,0.89956,1,2,1.2878,0.13523,1,19,-1.5033,0.8792,1
map00625,11,1.3032,0.068811,0.97669,-1.3032,0.93119,0.99506,1.1572,0.21995,1,8,0.93385,0.39541,1,3,0.69081,0.28214,1
map00260,57,0.11233,0.25417,1,-0.11233,0.74583,0.90204,0.18019,0.67521,1,27,1.4552,0.41389,1,30,-1.1321,0.79254,1
map03030,53,-4.4589,0.99963,1,4.4589,0.0003669,0.030086,0.8237,0.41947,1,9,-0.30823,0.86379,1,44,1.0434,0.13202,1
map04964,4,0.89487,0.17183,1,-0.89487,0.82817,0.94846,0.70646,0.34434,1,3,0.4513,0.45451,1,1,0.63125,0.31076,1
map00120,1,-2.0237,0.95276,1,2.0237,0.047239,0.48889,1.7169,0.081183,0.92495,0,NA,NA,NA,1,1.7169,0.078695,0.77626
map00350,35,0.99358,0.082784,1,-0.99358,0.91722,0.99049,0.42611,0.55192,1,16,2.1915,0.098958,1,19,-1.4327,0.86697,1
map04919,15,-1.7895,0.90796,1,1.7895,0.092039,0.48889,-2.1108,0.98262,1,0,NA,NA,NA,15,-2.1108,0.9457,1
map01523,6,-0.37727,0.54913,1,0.37727,0.45087,0.66551,-1.4363,0.92981,1,3,-1.5676,0.97538,1,3,-0.46372,0.64327,1
map04976,3,-0.64835,0.68947,1,0.64835,0.31053,0.57711,-0.98652,0.83243,1,0,NA,NA,NA,3,-0.98652,0.78656,1
map04974,2,-0.22747,0.49978,1,0.22747,0.50022,0.68592,-0.12805,0.57526,1,1,-0.35806,0.70631,1,1,0.17697,0.45674,1
map04115,4,-0.2749,0.52551,1,0.2749,0.47449,0.67766,-1.1093,0.89316,1,1,-0.14748,0.63247,1,3,-1.1958,0.83287,1
map04926,7,-1.4767,0.86764,1,1.4767,0.13236,0.48889,-0.64968,0.76661,1,0,NA,NA,NA,7,-0.64968,0.65387,1
map01521,6,-1.3157,0.82753,1,1.3157,0.17247,0.48889,-0.81022,0.81849,1,0,NA,NA,NA,6,-0.81022,0.73852,1
map01200,214,-2.0767,0.78091,1,2.0767,0.21909,0.51922,2.8721,0.069034,0.88449,101,0.54266,0.96967,1,113,3.4394,0.00067343,0.028208
map05031,9,-1.2224,0.81958,1,1.2224,0.18042,0.48889,-1.9124,0.97701,1,0,NA,NA,NA,9,-1.9124,0.92451,1
map00670,24,-0.12178,0.38113,1,0.12178,0.61887,0.79293,0.31182,0.54931,1,12,0.14242,0.76347,1,12,0.29856,0.40023,1
map04928,6,-1.4398,0.85385,1,1.4398,0.14615,0.48889,-0.49784,0.73494,1,0,NA,NA,NA,6,-0.49784,0.64974,1
map00940,4,-1.3248,0.8343,1,1.3248,0.1657,0.48889,0.86771,0.29231,1,2,-0.81757,0.87489,1,2,2.0447,0.04085,0.52051
map04962,8,-1.3689,0.83923,1,1.3689,0.16077,0.48889,-1.3158,0.91012,1,0,NA,NA,NA,8,-1.3158,0.84545,1
map05230,12,1.2123,0.081983,1,-1.2123,0.91802,0.99049,0.49386,0.43373,1,8,0.78047,0.45558,1,4,-0.24836,0.56241,1
map04550,4,-0.96214,0.7447,1,0.96214,0.2553,0.55637,-0.83177,0.83946,1,0,NA,NA,NA,4,-0.83177,0.73658,1
map04916,5,-1.232,0.82034,1,1.232,0.17966,0.48889,-0.7264,0.78346,1,0,NA,NA,NA,5,-0.7264,0.71427,1
map04066,15,-1.2142,0.78809,1,1.2142,0.21191,0.51922,-0.65965,0.80015,1,5,-0.40588,0.82957,1,10,-0.5209,0.62128,1
map05214,6,-0.76648,0.67867,1,0.76648,0.32133,0.57711,-0.50761,0.73782,1,1,0.33786,0.44739,1,5,-0.70715,0.70921,1
map03015,39,-2.0754,0.90426,1,2.0754,0.095736,0.48889,-2.7064,0.99791,1,4,0.063583,0.66796,1,35,-2.8783,0.98572,1
map05100,17,-0.36457,0.51945,1,0.36457,0.48055,0.67766,-2.4981,0.99319,1,6,-1.254,0.97215,1,11,-2.1794,0.95911,1
map04728,14,-1.2021,0.79251,1,1.2021,0.20749,0.51276,-1.794,0.96549,1,1,0.56186,0.36336,1,13,-2.0175,0.93679,1
map05340,2,-1.1828,0.80412,1,1.1828,0.19588,0.49659,0.23705,0.45374,1,0,NA,NA,NA,2,0.23705,0.39007,1
map00565,10,-0.90259,0.71708,1,0.90259,0.28292,0.5631,-1.4446,0.92272,1,1,0.45154,0.4042,1,9,-1.6732,0.89418,1
