Name,Genes (tot),Stat (dist.dir.up),p (dist.dir.up),p adj (dist.dir.up),Stat (dist.dir.dn),p (dist.dir.dn),p adj (dist.dir.dn),Stat (non-dir.),p (non-dir.),p adj (non-dir.),Genes (up),Stat (mix.dir.up),p (mix.dir.up),p adj (mix.dir.up),Genes (down),Stat (mix.dir.dn),p (mix.dir.dn),p adj (mix.dir.dn)
map04940,2,0.55419,0.24143,1,-0.55419,0.75857,0.90711,0.44378,0.38611,1,1,0.87735,0.25609,1,1,-0.24976,0.59989,1
map00998,3,-1.9619,0.94887,1,1.9619,0.051132,0.48889,1.1252,0.16469,1,0,NA,NA,NA,3,1.1252,0.17578,1
map04137,13,-1.7763,0.90414,1,1.7763,0.095865,0.48889,-0.68549,0.804,1,1,-0.031142,0.58924,1,12,-0.70449,0.7127,1
map05206,14,-1.1442,0.77722,1,1.1442,0.22278,0.5197,-1.1256,0.88925,1,2,0.046209,0.58937,1,12,-1.2347,0.83929,1
map00730,25,-2.7349,0.97171,1,2.7349,0.028288,0.48889,2.1132,0.065872,0.87121,9,0.46532,0.60273,1,16,2.2925,0.030995,0.43726
map04915,7,-1.1783,0.80378,1,1.1783,0.19622,0.49659,-1.2087,0.88549,1,1,-1.2681,0.92294,1,6,-0.78791,0.73258,1
map00230,106,0.43629,0.12458,1,-0.43629,0.87542,0.96744,1.1271,0.44746,1,59,0.53629,0.90158,1,47,1.0918,0.15103,1
map04712,2,-1.3648,0.84605,1,1.3648,0.15395,0.48889,0.6009,0.33682,1,0,NA,NA,NA,2,0.6009,0.28319,1
map04670,6,-0.4489,0.57383,1,0.4489,0.42617,0.63769,-2.0566,0.97902,1,1,-0.63979,0.7927,1,5,-1.9667,0.93608,1
map03010,134,-2.2651,0.88037,1,2.2651,0.11963,0.48889,-7.06,1,1,28,-1.1877,0.99678,1,106,-7.3274,1,1
map04912,10,-1.5536,0.87619,1,1.5536,0.12381,0.48889,-1.3399,0.90858,1,0,NA,NA,NA,10,-1.3399,0.83802,1
map04920,4,-1.2721,0.82272,1,1.2721,0.17728,0.48889,-0.12518,0.63774,1,1,-1.2179,0.91566,1,3,0.5586,0.31973,1
map03420,40,-3.8591,0.99925,1,3.8591,0.0007505,0.043958,-0.61859,0.84712,1,4,-0.09306,0.72418,1,36,-0.62103,0.65097,1
map04662,5,-1.2634,0.8273,1,1.2634,0.1727,0.48889,-0.55792,0.73817,1,0,NA,NA,NA,5,-0.55792,0.66856,1
